Country,Capital
Algeria, Algiers
Angola, Luanda
Benin, Porto-Novo
Botswana, Gaborone
Burkina Faso, Ouagadougou
Burundi, Gitega
Cabo Verde, Praia
Cameroon, Yaoundé
Central African Republic, Bangui
Chad, NDjamena
Comoros, Moroni
Democratic Republic of the Congo, Kinshasa
Republic of the Congo, Brazzaville
Djibouti, Djibouti
Egypt, Cairo
Equatorial Guinea, Malabo
Eritrea, Asmara
Eswatini," Mbabane (administrative), Lobamba (royal and legislative)"
Ethiopia, Addis Ababa
Gabon, Libreville
Gambia, Banjul
Ghana, Accra
Guinea, Conakry
Guinea-Bissau, Bissau
Ivory Coast," Yamoussoukro (official), Abidjan (administrative)"
Kenya, Nairobi
Lesotho, Maseru
Liberia, Monrovia
Libya, Tripoli
Madagascar, Antananarivo
Malawi, Lilongwe
Mali, Bamako
Mauritania, Nouakchott
Mauritius, Port Louis
Morocco, Rabat
Mozambique, Maputo
Namibia, Windhoek
Niger, Niamey
Nigeria, Abuja
Rwanda, Kigali
São Tomé and Príncipe, São Tomé
Senegal, Dakar
Seychelles, Victoria
Sierra Leone, Freetown
Somalia, Mogadishu
South Africa," Pretoria (administrative), Bloemfontein (judicial), Cape Town (legislative)"
South Sudan, Juba
Sudan, Khartoum
Tanzania," Dodoma (official), Dar es Salaam (largest city)"
Togo, Lomé
Tunisia, Tunis
Uganda, Kampala
Zambia, Lusaka
Zimbabwe, Harare
Afghanistan, Kabul
Armenia, Yerevan
Azerbaijan, Baku
Bahrain, Manama
Bangladesh, Dhaka
Bhutan, Thimphu
Brunei, Bandar Seri Begawan
Cambodia, Phnom Penh
China, Beijing
Cyprus, Nicosia
Georgia, Tbilisi
India, New Delhi
Indonesia, Jakarta
Iran, Tehran
Iraq, Baghdad
Japan, Tokyo
Jordan, Amman
Kazakhstan, Nur-Sultan
Kuwait, Kuwait City
Kyrgyzstan, Bishkek
Laos, Vientiane
Lebanon, Beirut
Malaysia, Kuala Lumpur
Maldives, Malé
Mongolia, Ulaanbaatar
Myanmar, Naypyidaw
Nepal, Kathmandu
North Korea, Pyongyang
Oman, Muscat
Pakistan, Islamabad
Palestine -Jerusalem, Palestine -Jerusalem
Philippines, Manila
Qatar, Doha
Russia, Moscow
Saudi Arabia, Riyadh
Singapore, Singapore
South Korea, Seoul
Sri Lanka," Colombo (official), Sri Jayawardenepura Kotte (administrative)"
Syria, Damascus
Taiwan, Taipei
Tajikistan, Dushanbe
Thailand, Bangkok
Timor-Leste, Dili
Turkey, Ankara
Turkmenistan, Ashgabat
United Arab Emirates, Abu Dhabi
Uzbekistan, Tashkent
Vietnam, Hanoi
Yemen, Sanaa
Albania, Tirana
Andorra, Andorra la Vella
Austria, Vienna
Belarus, Minsk
Belgium, Brussels
Bosnia and Herzegovina, Sarajevo
Bulgaria, Sofia
Croatia, Zagreb
Czech Republic, Prague
Denmark, Copenhagen
Estonia, Tallinn
Finland, Helsinki
France, Paris
Germany, Berlin
Greece, Athens
Hungary, Budapest
Iceland, Reykjavik
Ireland, Dublin
Italy, Rome
Kosovo, Pristina
Latvia, Riga
Liechtenstein, Vaduz
Lithuania, Vilnius
Luxembourg, Luxembourg City
Malta, Valletta
Moldova, Chisinau
Monaco, Monaco
Montenegro, Podgorica
Netherlands," Amsterdam (official), The Hague (seat of government)"
North Macedonia, Skopje
Norway, Oslo
Poland, Warsaw
Portugal, Lisbon
Romania, Bucharest
Russia, Moscow
San Marino, San Marino
Serbia, Belgrade
Slovakia, Bratislava
Slovenia, Ljubljana
Spain, Madrid
Sweden, Stockholm
Switzerland, Bern
Ukraine, Kyiv
United Kingdom, London
Vatican City, Vatican City
North America,
Antigua and Barbuda, St. Johns
Bahamas, Nassau
Barbados, Bridgetown
Belize, Belmopan
Canada, Ottawa
Costa Rica, San José
Cuba, Havana
Dominica, Roseau
Dominican Republic, Santo Domingo
El Salvador, San Salvador
Grenada, St. Georges
Guatemala, Guatemala City
Haiti, Port-au-Prince
Honduras, Tegucigalpa
Jamaica, Kingston
Mexico, Mexico City
Nicaragua, Managua
Panama, Panama City
Saint Kitts and Nevis, Basseterre
Saint Lucia, Castries
Saint Vincent and the Grenadines, Kingstown
Trinidad and Tobago, Port of Spain
United States of America," Washington, D.C."
Australia, Canberra
Fiji, Suva
Kiribati, South Tarawa
Marshall Islands, Majuro
Micronesia, Palikir
Nauru, Yaren (de facto)
New Zealand, Wellington
Palau, Ngerulmud
Papua New Guinea, Port Moresby
Samoa, Apia
Solomon Islands, Honiara
Tonga, Nukualofa
Tuvalu, Funafuti
Vanuatu, Port Vila
Argentina, Buenos Aires
Bolivia," Sucre (constitutional), La Paz (administrative)"
Brazil, Brasília
Chile, Santiago
Colombia, Bogotá
Ecuador, Quito
Guyana, Georgetown
Paraguay, Asunción
Peru, Lima
Suriname, Paramaribo
Uruguay, Montevideo
Venezuela, Caracas
